Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
5.4,2.64,4.15,1.38,grupo_B_sintetico
5.92,2.64,4.55,1.19,grupo_B_sintetico
6.11,2.82,4.19,1.38,grupo_B_sintetico
6.52,2.73,4.78,1.21,grupo_B_sintetico
5.92,2.89,4.75,1.21,grupo_B_sintetico
5.57,2.94,4.4,1.13,grupo_B_sintetico
6.23,2.98,4.69,1.72,grupo_B_sintetico
5.37,2.26,4.51,1.47,grupo_B_sintetico
5.75,2.79,4.57,1.39,grupo_B_sintetico
6.29,2.92,4.35,1.32,grupo_B_sintetico
6.38,2.56,3.82,1.28,grupo_B_sintetico
6.44,2.85,4.63,0.97,grupo_B_sintetico
5.52,2.49,4.25,1.49,grupo_B_sintetico
6.44,2.76,4.23,1.59,grupo_B_sintetico
6.49,2.63,4.68,1.3,grupo_B_sintetico
6.29,3.08,3.85,1.18,grupo_B_sintetico
7.22,2.88,4.15,0.98,grupo_B_sintetico
5.64,2.86,4.35,1.59,grupo_B_sintetico
5.74,2.98,4.09,1.02,grupo_B_sintetico
5.47,2.67,4.08,1.27,grupo_B_sintetico
5.98,3.29,4.64,1.27,grupo_B_sintetico
6.04,2.54,4.62,1.15,grupo_B_sintetico
6.22,2.83,4.24,1.35,grupo_B_sintetico
6.29,2.7,4.6,1.3,grupo_B_sintetico
6.11,3.01,3.83,1.46,grupo_B_sintetico
6.45,3.04,3.8,1.33,grupo_B_sintetico
6.31,2.58,4.82,1.15,grupo_B_sintetico
6.31,2.82,5.61,2.01,grupo_C_sintetico
6.75,2.94,4.84,1.98,grupo_C_sintetico
6.39,3.15,5.32,1.88,grupo_C_sintetico
6.64,2.63,5.3,1.95,grupo_C_sintetico
6.38,2.84,5.38,2.32,grupo_C_sintetico
6.67,3.14,5.83,2.1,grupo_C_sintetico
6.02,3.18,5.64,1.74,grupo_C_sintetico
6.92,3.38,5.81,1.92,grupo_C_sintetico
6.84,2.93,5.82,2.15,grupo_C_sintetico
5.91,2.91,4.96,2.21,grupo_C_sintetico
6.7,3.23,5.7,2.16,grupo_C_sintetico
7.01,3.23,5.4,1.95,grupo_C_sintetico
6.51,3.04,5.51,2.12,grupo_C_sintetico
6.42,2.97,5.44,1.81,grupo_C_sintetico
6.99,3.37,4.89,1.86,grupo_C_sintetico
6.59,3.18,5.37,2.09,grupo_C_sintetico
6.52,2.84,5.53,1.91,grupo_C_sintetico
6.12,2.87,5.91,1.95,grupo_C_sintetico
5.87,2.87,5.23,2.31,grupo_C_sintetico
6.6,2.91,6.05,2.03,grupo_C_sintetico
6.41,3.03,5.59,1.88,grupo_C_sintetico
6.95,2.95,5.15,1.89,grupo_C_sintetico
6.65,3.05,5.69,1.85,grupo_C_sintetico
6.2,2.95,5.25,1.88,grupo_C_sintetico
6.83,3.13,6.01,1.98,grupo_C_sintetico
6.55,2.94,5.22,2.01,grupo_C_sintetico
6.59,2.83,5.45,1.85,grupo_C_sintetico
6.56,3.05,5.81,1.87,grupo_C_sintetico
6.27,2.75,5.6,2.08,grupo_C_sintetico
5.58,3.14,6.07,2.06,grupo_C_sintetico
6.25,2.95,4.57,2.07,grupo_C_sintetico
6.45,2.76,5.47,2.02,grupo_C_sintetico
6.65,3.05,5.16,2.26,grupo_C_sintetico
6.88,3.24,5.22,2.13,grupo_C_sintetico
6.77,2.7,5.79,2.01,grupo_C_sintetico
5.75,2.83,5.45,1.73,grupo_C_sintetico
6.57,3.01,5.35,2.26,grupo_C_sintetico
6.58,3.25,5.73,1.79,grupo_C_sintetico
6.02,2.91,5.02,2.07,grupo_C_sintetico
7.05,2.86,5.66,2.08,grupo_C_sintetico
6.54,3.14,5.31,1.98,grupo_C_sintetico
6.1,2.94,5.22,2.36,grupo_C_sintetico
5.81,3.16,5.39,1.94,grupo_C_sintetico
6.55,2.9,5.22,2.09,grupo_C_sintetico
6.07,3.12,4.97,1.8,grupo_C_sintetico
6.57,2.77,5.26,1.72,grupo_C_sintetico
7.23,2.98,5.76,1.87,grupo_C_sintetico
6.57,2.98,5.55,1.88,grupo_C_sintetico
6.8,3.12,5.24,1.96,grupo_C_sintetico
6.43,2.88,5.63,2.01,grupo_C_sintetico
